,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
11/14/2018,2737.9,2746.8,2685.75,2701.58,-0.76%,0.0505%,0.0178%,0.0321%,0.58%,0.32%,-1.92%,-1.34%,0.02%,,,,,,,,
11/15/2018,2693.52,2735.38,2670.75,2730.2,1.06%,0.0572%,0.0183%,0.0357%,-0.30%,1.54%,-0.85%,1.35%,0.02%,,,,,,,,
11/16/2018,2718.54,2746.75,2712.16,2736.27,0.22%,0.0161%,0.0042%,0.0097%,-0.43%,1.03%,-0.23%,0.65%,0.01%,,,,,,,,
11/19/2018,2730.74,2733.16,2681.09,2690.73,-1.66%,0.0370%,0.0218%,0.0269%,-0.20%,0.09%,-1.83%,-1.48%,0.01%,,,,,,,,
11/20/2018,2654.6,2669.44,2631.52,2641.89,-1.82%,0.0205%,0.0023%,0.0111%,-1.35%,0.56%,-0.87%,-0.48%,0.01%,,,,,,,,
11/21/2018,2657.74,2670.73,2649.82,2649.93,0.30%,0.0062%,0.0009%,0.0034%,0.60%,0.49%,-0.30%,-0.29%,0.00%,,,,,,,,
11/23/2018,2633.36,2647.55,2631.09,2632.56,-0.66%,0.0039%,0.0000%,0.0019%,-0.63%,0.54%,-0.09%,-0.03%,0.00%,,,,,,,,
11/26/2018,2649.97,2674.35,2649.97,2673.45,1.55%,0.0084%,0.0078%,0.0072%,0.66%,0.92%,0.00%,0.88%,0.00%,,,,,,,,
11/27/2018,2663.75,2682.53,2655.89,2682.17,0.33%,0.0100%,0.0047%,0.0068%,-0.36%,0.70%,-0.30%,0.69%,0.00%,,,,,,,,
11/28/2018,2691.45,2744,2684.38,2743.79,2.30%,0.0483%,0.0371%,0.0385%,0.35%,1.93%,-0.26%,1.93%,0.01%,,,,,,,,
11/29/2018,2736.97,2753.75,2722.94,2737.76,-0.22%,0.0127%,0.0000%,0.0063%,-0.25%,0.61%,-0.51%,0.03%,0.01%,,,,,,,,
11/30/2018,2737.76,2760.88,2732.76,2760.17,0.82%,0.0105%,0.0066%,0.0078%,0.00%,0.84%,-0.18%,0.82%,0.00%,,,,,,,,
12/3/2018,2790.5,2800.18,2773.38,2790.37,1.09%,0.0092%,0.0000%,0.0046%,1.09%,0.35%,-0.62%,0.00%,0.00%,,,,,,,,
12/4/2018,2782.43,2785.93,2697.18,2700.06,-3.24%,0.1048%,0.0903%,0.0873%,-0.28%,0.13%,-3.11%,-3.01%,0.01%,,,,,,,,
12/6/2018,2663.51,2696.15,2621.53,2695.95,-0.15%,0.0788%,0.0147%,0.0450%,-1.36%,1.22%,-1.59%,1.21%,0.04%,,,,,,,,
12/7/2018,2691.26,2708.54,2623.14,2633.08,-2.33%,0.1026%,0.0478%,0.0698%,-0.17%,0.64%,-2.56%,-2.19%,0.03%,,,,,,,,
12/10/2018,2630.86,2647.51,2583.23,2637.72,0.18%,0.0604%,0.0007%,0.0305%,-0.08%,0.63%,-1.83%,0.26%,0.04%,,,,,,,,
12/11/2018,2664.44,2674.35,2621.3,2636.78,-0.04%,0.0401%,0.0109%,0.0243%,1.01%,0.37%,-1.63%,-1.04%,0.01%,,,,,,,,
12/12/2018,2658.23,2685.44,2650.26,2651.07,0.54%,0.0174%,0.0007%,0.0090%,0.81%,1.02%,-0.30%,-0.27%,0.01%,,,,,,,,
12/13/2018,2658.7,2670.19,2637.27,2650.54,-0.02%,0.0154%,0.0009%,0.0081%,0.29%,0.43%,-0.81%,-0.31%,0.01%,,,,,,,,
12/14/2018,2629.68,2635.07,2593.84,2599.95,-1.91%,0.0249%,0.0129%,0.0174%,-0.79%,0.20%,-1.37%,-1.14%,0.01%,,,,,,,,
12/17/2018,2590.75,2601.13,2530.54,2545.94,-2.08%,0.0757%,0.0304%,0.0496%,-0.35%,0.40%,-2.35%,-1.74%,0.02%,,,,,,,,
12/18/2018,2559.9,2573.99,2528.71,2546.16,0.01%,0.0315%,0.0029%,0.0169%,0.55%,0.55%,-1.23%,-0.54%,0.01%,,,,,,,,
12/19/2018,2547.05,2585.29,2488.96,2506.96,-1.54%,0.1442%,0.0252%,0.0818%,0.03%,1.49%,-2.31%,-1.59%,0.06%,,,,,,,,
12/20/2018,2496.77,2509.63,2441.18,2467.42,-1.58%,0.0765%,0.0140%,0.0436%,-0.41%,0.51%,-2.25%,-1.18%,0.03%,,,,,,,,
12/21/2018,2465.38,2504.41,2408.55,2416.62,-2.06%,0.1523%,0.0399%,0.0916%,-0.08%,1.57%,-2.33%,-2.00%,0.06%,,,,,,,,
12/24/2018,2400.56,2410.34,2351.1,2351.1,-2.71%,0.0619%,0.0433%,0.0477%,-0.67%,0.41%,-2.08%,-2.08%,0.01%,,,,,,,,
12/26/2018,2363.12,2467.76,2346.58,2467.7,4.96%,0.2535%,0.1875%,0.1992%,0.51%,4.33%,-0.70%,4.33%,0.04%,,,,,,,,
12/27/2018,2442.5,2489.1,2397.94,2488.83,0.86%,0.1392%,0.0353%,0.0832%,-1.03%,1.89%,-1.84%,1.88%,0.07%,,,,,,,,
12/28/2018,2498.77,2520.27,2472.89,2485.74,-0.12%,0.0360%,0.0027%,0.0191%,0.40%,0.86%,-1.04%,-0.52%,0.02%,,,,,,,,
12/31/2018,2498.94,2509.24,2482.82,2506.85,0.85%,0.0112%,0.0010%,0.0060%,0.53%,0.41%,-0.65%,0.32%,0.01%,,,,,,,,
1/2/2019,2476.96,2519.49,2467.47,2510.03,0.13%,0.0435%,0.0176%,0.0286%,-1.20%,1.70%,-0.38%,1.33%,0.01%,,,,,,,,
1/3/2019,2491.92,2493.14,2443.96,2447.89,-2.48%,0.0397%,0.0318%,0.0321%,-0.72%,0.05%,-1.94%,-1.78%,0.00%,,,,,,,,
1/4/2019,2474.33,2538.07,2474.33,2531.94,3.43%,0.0647%,0.0530%,0.0528%,1.07%,2.54%,0.00%,2.30%,0.01%,,,,,,,,
1/7/2019,2535.61,2566.16,2524.56,2549.69,0.70%,0.0267%,0.0031%,0.0145%,0.14%,1.20%,-0.44%,0.55%,0.01%,,,,,,,,
1/8/2019,2568.11,2579.82,2547.56,2574.41,0.97%,0.0158%,0.0006%,0.0081%,0.72%,0.45%,-0.80%,0.25%,0.01%,,,,,,,,
1/9/2019,2580,2595.32,2568.89,2584.96,0.41%,0.0105%,0.0004%,0.0054%,0.22%,0.59%,-0.43%,0.19%,0.01%,,,,,,,,
1/10/2019,2573.51,2597.82,2562.02,2596.64,0.45%,0.0193%,0.0080%,0.0127%,-0.44%,0.94%,-0.45%,0.89%,0.01%,,,,,,,,
1/11/2019,2588.11,2596.27,2577.4,2596.26,-0.01%,0.0053%,0.0010%,0.0030%,-0.33%,0.31%,-0.41%,0.31%,0.00%,,,,,,,,
1/14/2019,2580.31,2589.32,2570.41,2582.61,-0.53%,0.0054%,0.0001%,0.0027%,-0.62%,0.35%,-0.38%,0.09%,0.00%,,,,,,,,
1/15/2019,2585.1,2613.08,2585.1,2610.3,1.07%,0.0116%,0.0094%,0.0094%,0.10%,1.08%,0.00%,0.97%,0.00%,,,,,,,,
1/16/2019,2614.75,2625.76,2612.68,2616.1,0.22%,0.0025%,0.0000%,0.0013%,0.17%,0.42%,-0.08%,0.05%,0.00%,,,,,,,,
1/17/2019,2609.28,2645.06,2606.36,2635.96,0.76%,0.0217%,0.0103%,0.0149%,-0.26%,1.36%,-0.11%,1.02%,0.01%,,,,,,,,
1/18/2019,2651.27,2675.47,2647.58,2670.71,1.32%,0.0110%,0.0053%,0.0076%,0.58%,0.91%,-0.14%,0.73%,0.00%,,,,,,,,
1/22/2019,2657.88,2657.88,2617.27,2632.9,-1.42%,0.0237%,0.0089%,0.0153%,-0.48%,0.00%,-1.54%,-0.94%,0.01%,,,,,,,,
1/23/2019,2643.48,2653.19,2612.86,2638.7,0.22%,0.0235%,0.0003%,0.0119%,0.40%,0.37%,-1.17%,-0.18%,0.01%,,,,,,,,
1/24/2019,2638.84,2647.2,2627.01,2642.33,0.14%,0.0059%,0.0002%,0.0030%,0.01%,0.32%,-0.45%,0.13%,0.00%,,,,,,,,
1/25/2019,2657.44,2672.38,2657.33,2664.76,0.85%,0.0032%,0.0008%,0.0019%,0.57%,0.56%,0.00%,0.28%,0.00%,,,,,,,,
1/28/2019,2644.97,2644.97,2624.06,2643.85,-0.78%,0.0063%,0.0000%,0.0032%,-0.75%,0.00%,-0.79%,-0.04%,0.01%,,,,,,,,
1/29/2019,2644.89,2650.93,2631.05,2640,-0.15%,0.0057%,0.0003%,0.0030%,0.04%,0.23%,-0.52%,-0.19%,0.00%,,,,,,,,
1/30/2019,2653.62,2690.44,2648.34,2681.05,1.55%,0.0249%,0.0106%,0.0165%,0.51%,1.38%,-0.20%,1.03%,0.01%,,,,,,,,
1/31/2019,2685.49,2708.95,2678.65,2704.1,0.86%,0.0127%,0.0048%,0.0082%,0.17%,0.87%,-0.26%,0.69%,0.00%,,,,,,,,
2/1/2019,2702.32,2716.66,2696.88,2706.53,0.09%,0.0053%,0.0002%,0.0028%,-0.07%,0.53%,-0.20%,0.16%,0.00%,,,,,,,,
2/4/2019,2706.49,2724.99,2698.75,2724.87,0.68%,0.0094%,0.0046%,0.0065%,0.00%,0.68%,-0.29%,0.68%,0.00%,,,,,,,,
2/5/2019,2728.34,2738.98,2724.03,2737.7,0.47%,0.0030%,0.0012%,0.0020%,0.13%,0.39%,-0.16%,0.34%,0.00%,,,,,,,,
2/6/2019,2735.05,2738.08,2724.15,2731.61,-0.22%,0.0026%,0.0002%,0.0014%,-0.10%,0.11%,-0.40%,-0.13%,0.00%,,,,,,,,
2/7/2019,2717.53,2719.32,2687.26,2706.05,-0.94%,0.0141%,0.0018%,0.0077%,-0.52%,0.07%,-1.12%,-0.42%,0.01%,,,,,,,,
2/8/2019,2692.36,2708.07,2681.83,2707.88,0.07%,0.0095%,0.0033%,0.0060%,-0.51%,0.58%,-0.39%,0.57%,0.00%,,,,,,,,
2/11/2019,2712.4,2718.05,2703.79,2709.8,0.07%,0.0028%,0.0001%,0.0014%,0.17%,0.21%,-0.32%,-0.10%,0.00%,,,,,,,,
2/12/2019,2722.61,2748.19,2722.61,2744.73,1.29%,0.0087%,0.0065%,0.0069%,0.47%,0.94%,0.00%,0.81%,0.00%,,,,,,,,
2/13/2019,2750.3,2761.85,2748.63,2753.03,0.30%,0.0023%,0.0001%,0.0012%,0.20%,0.42%,-0.06%,0.10%,0.00%,,,,,,,,
2/14/2019,2743.5,2757.9,2731.23,2745.73,-0.27%,0.0094%,0.0001%,0.0047%,-0.35%,0.52%,-0.45%,0.08%,0.00%,,,,,,,,
2/15/2019,2760.24,2775.66,2760.24,2775.6,1.09%,0.0031%,0.0031%,0.0027%,0.53%,0.56%,0.00%,0.55%,0.00%,,,,,,,,
2/19/2019,2769.28,2787.33,2767.29,2779.76,0.15%,0.0052%,0.0014%,0.0032%,-0.23%,0.65%,-0.07%,0.38%,0.00%,,,,,,,,
2/20/2019,2779.05,2789.88,2774.06,2784.7,0.18%,0.0032%,0.0004%,0.0018%,-0.03%,0.39%,-0.18%,0.20%,0.00%,,,,,,,,
2/21/2019,2780.24,2781.58,2764.55,2774.88,-0.35%,0.0038%,0.0004%,0.0020%,-0.16%,0.05%,-0.57%,-0.19%,0.00%,,,,,,,,
2/22/2019,2780.67,2794.2,2779.11,2792.67,0.64%,0.0029%,0.0019%,0.0022%,0.21%,0.49%,-0.06%,0.43%,0.00%,,,,,,,,
2/25/2019,2804.35,2813.49,2794.99,2796.11,0.12%,0.0044%,0.0009%,0.0025%,0.42%,0.33%,-0.33%,-0.29%,0.00%,,,,,,,,
2/26/2019,2792.36,2803.12,2789.47,2793.9,-0.08%,0.0024%,0.0000%,0.0012%,-0.13%,0.38%,-0.10%,0.06%,0.00%,,,,,,,,
2/27/2019,2787.5,2795.76,2775.13,2792.38,-0.05%,0.0055%,0.0003%,0.0029%,-0.23%,0.30%,-0.44%,0.17%,0.00%,,,,,,,,
2/28/2019,2788.11,2793.73,2782.51,2784.49,-0.28%,0.0016%,0.0002%,0.0009%,-0.15%,0.20%,-0.20%,-0.13%,0.00%,,,,,,,,
3/1/2019,2798.22,2808.02,2787.38,2803.69,0.69%,0.0054%,0.0004%,0.0029%,0.49%,0.35%,-0.39%,0.20%,0.00%,,,,,,,,
3/4/2019,2814.37,2816.88,2767.66,2792.81,-0.39%,0.0311%,0.0059%,0.0178%,0.38%,0.09%,-1.67%,-0.77%,0.02%,,,,,,,,
3/5/2019,2794.41,2796.44,2782.97,2789.65,-0.11%,0.0023%,0.0003%,0.0013%,0.06%,0.07%,-0.41%,-0.17%,0.00%,,,,,,,,
3/6/2019,2790.27,2790.27,2768.69,2771.45,-0.65%,0.0060%,0.0046%,0.0048%,0.02%,0.00%,-0.78%,-0.68%,0.00%,,,,,,,,
3/7/2019,2766.53,2767.25,2739.09,2748.93,-0.81%,0.0105%,0.0041%,0.0068%,-0.18%,0.03%,-1.00%,-0.64%,0.00%,,,,,,,,
3/8/2019,2730.79,2744.13,2722.27,2743.07,-0.21%,0.0064%,0.0020%,0.0040%,-0.66%,0.49%,-0.31%,0.45%,0.00%,,,,,,,,
3/11/2019,2747.61,2784,2747.61,2783.3,1.47%,0.0173%,0.0167%,0.0151%,0.17%,1.32%,0.00%,1.29%,0.00%,,,,,,,,
3/12/2019,2787.34,2798.32,2786.73,2791.52,0.30%,0.0017%,0.0002%,0.0009%,0.15%,0.39%,-0.02%,0.15%,0.00%,,,,,,,,
3/13/2019,2799.78,2821.24,2799.78,2810.92,0.69%,0.0058%,0.0016%,0.0035%,0.30%,0.76%,0.00%,0.40%,0.00%,,,,,,,,
3/14/2019,2810.38,2815,2803.46,2808.48,-0.09%,0.0017%,0.0000%,0.0009%,-0.02%,0.16%,-0.25%,-0.07%,0.00%,,,,,,,,
3/15/2019,2810.79,2830.73,2810.79,2822.48,0.50%,0.0050%,0.0017%,0.0032%,0.08%,0.71%,0.00%,0.42%,0.00%,,,,,,,,
3/18/2019,2822.61,2835.41,2821.99,2832.94,0.37%,0.0023%,0.0013%,0.0016%,0.00%,0.45%,-0.02%,0.37%,0.00%,,,,,,,,
3/19/2019,2840.76,2852.42,2823.27,2832.57,-0.01%,0.0106%,0.0008%,0.0056%,0.28%,0.41%,-0.62%,-0.29%,0.00%,,,,,,,,
3/20/2019,2831.34,2843.54,2812.43,2824.23,-0.29%,0.0121%,0.0006%,0.0063%,-0.04%,0.43%,-0.67%,-0.25%,0.01%,,,,,,,,
3/21/2019,2819.72,2860.31,2817.38,2854.88,1.09%,0.0229%,0.0154%,0.0174%,-0.16%,1.43%,-0.08%,1.24%,0.00%,,,,,,,,
3/22/2019,2844.52,2846.16,2800.47,2800.71,-1.90%,0.0262%,0.0241%,0.0224%,-0.36%,0.06%,-1.56%,-1.55%,0.00%,,,,,,,,
3/25/2019,2796.01,2809.79,2785.02,2798.36,-0.08%,0.0078%,0.0001%,0.0039%,-0.17%,0.49%,-0.39%,0.08%,0.00%,,,,,,,,
3/26/2019,2812.66,2829.87,2803.99,2818.46,0.72%,0.0084%,0.0004%,0.0044%,0.51%,0.61%,-0.31%,0.21%,0.00%,,,,,,,,
3/27/2019,2819.72,2825.56,2787.72,2805.37,-0.46%,0.0182%,0.0026%,0.0101%,0.04%,0.21%,-1.14%,-0.51%,0.01%,,,,,,,,
3/28/2019,2809.4,2819.71,2798.77,2815.44,0.36%,0.0056%,0.0005%,0.0030%,0.14%,0.37%,-0.38%,0.21%,0.00%,,,,,,,,
3/29/2019,2828.27,2836.03,2819.23,2834.4,0.67%,0.0035%,0.0005%,0.0019%,0.45%,0.27%,-0.32%,0.22%,0.00%,,,,,,,,
4/1/2019,2848.63,2869.4,2848.63,2867.19,1.16%,0.0053%,0.0042%,0.0043%,0.50%,0.73%,0.00%,0.65%,0.00%,,,,,,,,
4/2/2019,2868.24,2872.9,2858.75,2867.24,0.00%,0.0024%,0.0000%,0.0012%,0.04%,0.16%,-0.33%,-0.03%,0.00%,,,,,,,,
4/3/2019,2876.09,2885.25,2865.17,2873.4,0.21%,0.0049%,0.0001%,0.0025%,0.31%,0.32%,-0.38%,-0.09%,0.00%,,,,,,,,
4/4/2019,2873.99,2881.28,2867.14,2879.39,0.21%,0.0024%,0.0004%,0.0013%,0.02%,0.25%,-0.24%,0.19%,0.00%,,,,,,,,
4/5/2019,2884.16,2893.24,2882.99,2892.74,0.46%,0.0013%,0.0009%,0.0010%,0.17%,0.31%,-0.04%,0.30%,0.00%,,,,,,,,
4/8/2019,2888.46,2895.95,2880.78,2895.77,0.10%,0.0028%,0.0006%,0.0016%,-0.15%,0.26%,-0.27%,0.25%,0.00%,,,,,,,,
4/9/2019,2886.58,2886.88,2873.33,2878.2,-0.61%,0.0022%,0.0008%,0.0014%,-0.32%,0.01%,-0.46%,-0.29%,0.00%,,,,,,,,
4/10/2019,2881.37,2889.71,2879.13,2888.21,0.35%,0.0013%,0.0006%,0.0009%,0.11%,0.29%,-0.08%,0.24%,0.00%,,,,,,,,
4/11/2019,2891.92,2893.42,2881.99,2888.32,0.00%,0.0016%,0.0002%,0.0008%,0.13%,0.05%,-0.34%,-0.12%,0.00%,,,,,,,,
4/12/2019,2900.86,2910.54,2898.37,2907.41,0.66%,0.0018%,0.0005%,0.0011%,0.43%,0.33%,-0.09%,0.23%,0.00%,,,,,,,,
4/15/2019,2908.32,2909.6,2896.48,2905.58,-0.06%,0.0020%,0.0001%,0.0011%,0.03%,0.04%,-0.41%,-0.09%,0.00%,,,,,,,,
4/16/2019,2912.26,2916.06,2900.71,2907.06,0.05%,0.0028%,0.0003%,0.0015%,0.23%,0.13%,-0.40%,-0.18%,0.00%,,,,,,,,
4/17/2019,2916.04,2918,2895.45,2900.45,-0.23%,0.0060%,0.0029%,0.0041%,0.31%,0.07%,-0.71%,-0.54%,0.00%,,,,,,,,
4/18/2019,2904.81,2908.4,2891.9,2905.03,0.16%,0.0032%,0.0000%,0.0016%,0.15%,0.12%,-0.45%,0.01%,0.00%,,,,,,,,
4/22/2019,2898.78,2909.51,2896.35,2907.97,0.10%,0.0021%,0.0010%,0.0014%,-0.22%,0.37%,-0.08%,0.32%,0.00%,,,,,,,,
4/23/2019,2909.99,2936.31,2908.53,2933.68,0.88%,0.0090%,0.0066%,0.0071%,0.07%,0.90%,-0.05%,0.81%,0.00%,,,,,,,,
4/24/2019,2934,2936.83,2926.05,2927.25,-0.22%,0.0014%,0.0005%,0.0009%,0.01%,0.10%,-0.27%,-0.23%,0.00%,,,,,,,,
4/25/2019,2928.99,2933.1,2912.84,2926.17,-0.04%,0.0048%,0.0001%,0.0024%,0.06%,0.14%,-0.55%,-0.10%,0.00%,,,,,,,,
4/26/2019,2925.81,2939.88,2917.56,2939.88,0.47%,0.0058%,0.0023%,0.0038%,-0.01%,0.48%,-0.28%,0.48%,0.00%,,,,,,,,
4/29/2019,2940.58,2949.52,2939.35,2943.03,0.11%,0.0012%,0.0001%,0.0006%,0.02%,0.30%,-0.04%,0.08%,0.00%,,,,,,,,
4/30/2019,2937.14,2948.22,2924.11,2945.83,0.10%,0.0067%,0.0009%,0.0037%,-0.20%,0.38%,-0.44%,0.30%,0.00%,,,,,,,,
5/1/2019,2952.33,2954.13,2923.36,2923.73,-0.75%,0.0110%,0.0095%,0.0091%,0.22%,0.06%,-0.99%,-0.97%,0.00%,,,,,,,,
5/2/2019,2922.16,2931.68,2900.5,2917.52,-0.21%,0.0114%,0.0003%,0.0058%,-0.05%,0.33%,-0.74%,-0.16%,0.01%,,,,,,,,
5/3/2019,2929.21,2947.85,2929.21,2945.64,0.96%,0.0040%,0.0031%,0.0032%,0.40%,0.63%,0.00%,0.56%,0.00%,,,,,,,,
5/6/2019,2908.89,2937.32,2898.21,2932.47,-0.45%,0.0180%,0.0065%,0.0115%,-1.26%,0.97%,-0.37%,0.81%,0.01%,,,,,,,,
5/7/2019,2913.03,2913.03,2862.6,2884.05,-1.65%,0.0305%,0.0100%,0.0191%,-0.67%,0.00%,-1.75%,-1.00%,0.01%,,,,,,,,
5/8/2019,2879.61,2897.96,2873.28,2879.42,-0.16%,0.0073%,0.0000%,0.0037%,-0.15%,0.64%,-0.22%,-0.01%,0.00%,,,,,,,,
5/9/2019,2859.84,2875.97,2836.4,2870.72,-0.30%,0.0192%,0.0014%,0.0102%,-0.68%,0.56%,-0.82%,0.38%,0.01%,,,,,,,,
5/10/2019,2863.1,2891.31,2825.39,2881.4,0.37%,0.0532%,0.0041%,0.0282%,-0.27%,0.98%,-1.33%,0.64%,0.03%,,,,,,,,
5/13/2019,2840.19,2840.19,2801.43,2811.87,-2.41%,0.0189%,0.0100%,0.0133%,-1.44%,0.00%,-1.37%,-1.00%,0.01%,,,,,,,,
5/14/2019,2820.12,2852.54,2820.12,2834.41,0.80%,0.0131%,0.0026%,0.0075%,0.29%,1.14%,0.00%,0.51%,0.01%,,,,,,,,
5/15/2019,2820.38,2858.68,2815.08,2850.96,0.58%,0.0236%,0.0116%,0.0163%,-0.50%,1.35%,-0.19%,1.08%,0.01%,,,,,,,,
5/16/2019,2855.8,2892.15,2855.8,2876.32,0.89%,0.0160%,0.0051%,0.0100%,0.17%,1.26%,0.00%,0.72%,0.01%,,,,,,,,
5/17/2019,2858.6,2885.48,2854.23,2859.53,-0.58%,0.0119%,0.0000%,0.0059%,-0.62%,0.94%,-0.15%,0.03%,0.01%,,,,,,,,
5/20/2019,2841.94,2853.86,2831.29,2840.23,-0.67%,0.0063%,0.0000%,0.0032%,-0.62%,0.42%,-0.38%,-0.06%,0.00%,,,,,,,,
5/21/2019,2854.02,2868.88,2854.02,2864.36,0.85%,0.0027%,0.0013%,0.0019%,0.48%,0.52%,0.00%,0.36%,0.00%,,,,,,,,
5/22/2019,2856.06,2865.47,2851.11,2856.27,-0.28%,0.0025%,0.0000%,0.0013%,-0.29%,0.33%,-0.17%,0.01%,0.00%,,,,,,,,
5/23/2019,2836.7,2836.7,2805.49,2822.24,-1.19%,0.0122%,0.0026%,0.0071%,-0.69%,0.00%,-1.11%,-0.51%,0.01%,,,,,,,,
5/24/2019,2832.41,2841.36,2820.19,2826.06,0.14%,0.0056%,0.0005%,0.0030%,0.36%,0.32%,-0.43%,-0.22%,0.00%,,,,,,,,
5/28/2019,2830.03,2840.51,2801.58,2802.39,-0.84%,0.0190%,0.0096%,0.0132%,0.14%,0.37%,-1.01%,-0.98%,0.01%,,,,,,,,
5/29/2019,2790.25,2792.03,2766.06,2783.02,-0.69%,0.0087%,0.0007%,0.0046%,-0.43%,0.06%,-0.87%,-0.26%,0.01%,,,,,,,,
5/30/2019,2786.94,2799,2776.74,2788.86,0.21%,0.0064%,0.0000%,0.0032%,0.14%,0.43%,-0.37%,0.07%,0.00%,,,,,,,,
5/31/2019,2766.15,2768.98,2750.52,2752.06,-1.32%,0.0045%,0.0026%,0.0032%,-0.82%,0.10%,-0.57%,-0.51%,0.00%,,,,,,,,
6/3/2019,2751.53,2763.07,2728.81,2744.45,-0.28%,0.0156%,0.0007%,0.0080%,-0.02%,0.42%,-0.83%,-0.26%,0.01%,,,,,,,,
6/4/2019,2762.64,2804.49,2762.64,2803.27,2.14%,0.0226%,0.0213%,0.0195%,0.66%,1.50%,0.00%,1.46%,0.00%,,,,,,,,
6/5/2019,2818.09,2827.28,2800.92,2826.15,0.82%,0.0088%,0.0008%,0.0047%,0.53%,0.33%,-0.61%,0.29%,0.01%,,,,,,,,
6/6/2019,2828.51,2852.1,2822.45,2843.49,0.61%,0.0109%,0.0028%,0.0065%,0.08%,0.83%,-0.21%,0.53%,0.00%,,,,,,,,
6/7/2019,2852.87,2884.97,2852.87,2873.34,1.05%,0.0125%,0.0051%,0.0082%,0.33%,1.12%,0.00%,0.71%,0.00%,,,,,,,,
6/10/2019,2885.83,2904.77,2885.51,2886.73,0.47%,0.0044%,0.0000%,0.0022%,0.43%,0.65%,-0.01%,0.03%,0.00%,,,,,,,,
6/11/2019,2903.27,2910.61,2878.53,2885.72,-0.03%,0.0123%,0.0037%,0.0076%,0.57%,0.25%,-0.86%,-0.61%,0.00%,,,,,,,,
6/12/2019,2882.73,2888.57,2874.68,2879.84,-0.20%,0.0023%,0.0001%,0.0012%,-0.10%,0.20%,-0.28%,-0.10%,0.00%,,,,,,,,
6/13/2019,2886.24,2895.24,2881.99,2891.64,0.41%,0.0021%,0.0003%,0.0012%,0.22%,0.31%,-0.15%,0.19%,0.00%,,,,,,,,
6/14/2019,2886.82,2894.45,2879.62,2886.98,-0.16%,0.0026%,0.0000%,0.0013%,-0.17%,0.26%,-0.25%,0.01%,0.00%,,,,,,,,
6/17/2019,2889.75,2897.27,2887.3,2889.67,0.09%,0.0012%,0.0000%,0.0006%,0.10%,0.26%,-0.08%,0.00%,0.00%,,,,,,,,
6/18/2019,2906.71,2930.79,2905.44,2917.75,0.97%,0.0075%,0.0014%,0.0043%,0.59%,0.83%,-0.04%,0.38%,0.00%,,,,,,,,
6/19/2019,2920.55,2931.74,2911.43,2926.46,0.30%,0.0048%,0.0004%,0.0026%,0.10%,0.38%,-0.31%,0.20%,0.00%,,,,,,,,
6/20/2019,2949.6,2958.06,2931.5,2954.18,0.95%,0.0081%,0.0002%,0.0042%,0.79%,0.29%,-0.62%,0.16%,0.01%,,,,,,,,
6/21/2019,2952.71,2964.15,2946.87,2950.46,-0.13%,0.0034%,0.0001%,0.0017%,-0.05%,0.39%,-0.20%,-0.08%,0.00%,,,,,,,,
6/24/2019,2951.42,2954.92,2944.05,2945.35,-0.17%,0.0014%,0.0004%,0.0008%,0.03%,0.12%,-0.25%,-0.21%,0.00%,,,,,,,,
6/25/2019,2945.78,2946.52,2916.01,2917.38,-0.95%,0.0108%,0.0094%,0.0090%,0.01%,0.03%,-1.02%,-0.97%,0.00%,,,,,,,,
6/26/2019,2926.07,2932.59,2912.99,2913.78,-0.12%,0.0045%,0.0018%,0.0029%,0.30%,0.22%,-0.45%,-0.42%,0.00%,,,,,,,,
6/27/2019,2919.66,2929.3,2918.57,2924.92,0.38%,0.0013%,0.0003%,0.0008%,0.20%,0.33%,-0.04%,0.18%,0.00%,,,,,,,,
6/28/2019,2932.94,2943.98,2929.05,2941.76,0.58%,0.0026%,0.0009%,0.0016%,0.27%,0.38%,-0.13%,0.30%,0.00%,,,,,,,,
7/1/2019,2971.41,2977.93,2952.22,2964.33,0.77%,0.0075%,0.0006%,0.0040%,1.00%,0.22%,-0.65%,-0.24%,0.00%,,,,,,,,
7/2/2019,2964.66,2973.21,2955.92,2973.01,0.29%,0.0034%,0.0008%,0.0020%,0.01%,0.29%,-0.30%,0.28%,0.00%,,,,,,,,
7/3/2019,2978.08,2995.84,2977.96,2995.82,0.77%,0.0036%,0.0035%,0.0032%,0.17%,0.59%,0.00%,0.59%,0.00%,,,,,,,,
7/5/2019,2984.25,2994.03,2967.97,2990.41,-0.18%,0.0076%,0.0004%,0.0040%,-0.39%,0.33%,-0.55%,0.21%,0.00%,,,,,,,,
7/8/2019,2979.77,2980.76,2970.09,2975.95,-0.48%,0.0013%,0.0002%,0.0007%,-0.36%,0.03%,-0.33%,-0.13%,0.00%,,,,,,,,
7/9/2019,2965.52,2981.9,2963.44,2979.63,0.12%,0.0039%,0.0023%,0.0028%,-0.35%,0.55%,-0.07%,0.47%,0.00%,,,,,,,,
7/10/2019,2989.3,3002.98,2984.62,2993.07,0.45%,0.0038%,0.0002%,0.0019%,0.32%,0.46%,-0.16%,0.13%,0.00%,,,,,,,,
7/11/2019,2999.62,3002.33,2988.8,2999.91,0.23%,0.0020%,0.0000%,0.0010%,0.22%,0.09%,-0.36%,0.01%,0.00%,,,,,,,,
